A,N-Z,N,Z,Element,O,ME [keV],Error ME [keV],BINDING ENERGY/A [keV],Error BINDING ENERGY/A [keV],ATOMIC MASS [µu],Error ATOMIC MASS [µu],Extrapolated?
109,25,67,42,Mo,   x,-66665.99600,11.18800,8381.47700,0.10300,108928431.10600,12.01000,False
109,23,66,43,Tc,   x,-74282.77500,9.66900,8444.17800,0.08900,108920254.15600,10.38000,False
109,21,65,44,Ru, -4n,-80738.40100,8.95400,8496.22700,0.08200,108913323.75600,9.61200,False
109,19,64,45,Rh,    ,-84999.45500,4.03900,8528.14200,0.03700,108908749.32600,4.33600,False
109,17,63,46,Pd,    ,-87606.47600,1.11400,8544.88200,0.01000,108905950.57400,1.19500,False
109,15,62,47,Ag,    ,-88719.42600,1.28700,8547.91500,0.01200,108904755.77300,1.38100,False
109,13,61,48,Cd,    ,-88504.32100,1.53600,8538.76400,0.01400,108904986.69800,1.64900,False
109,11,60,49,In,    ,-86489.51100,3.96900,8513.10200,0.03600,108907149.68500,4.26100,False
109,9,59,50,Sn,    ,-82630.18400,7.94900,8470.51800,0.07300,108911292.84300,8.53300,False
109,7,58,51,Sb,    ,-76250.97700,5.26500,8404.81500,0.04800,108918141.20400,5.65200,False
109,5,57,52,Te,    ,-67715.39000,4.38200,8319.33000,0.04000,108927304.53400,4.70400,False
